id,lon,lat
395,-1.33143,46.19102
396,-1.33143,46.19102
397,-1.06977,46.14952
398,-1.06977,46.14952
399,-1.06977,46.14952
400,-1.018217,45.62523
401,-1.018217,45.62523
402,-1.018217,45.62523
403,-1.033112,45.620421
404,-1.033112,45.620421
405,-1.033112,45.620421
406,-0.779485,45.700818
407,-0.779485,45.700818
408,-0.779485,45.700818
409,-0.505448,45.817534
410,-0.936192,46.114931
411,-1.01114,45.67263
412,-1.317532,46.155851
413,-1.194709,45.886536
414,-1.194709,45.886536
415,-1.178706,45.691602
416,-1.178706,45.691602
417,-1.178706,45.691602
418,-0.955017,45.898288
419,-0.955017,45.898288
420,-0.955017,45.898288
421,-0.838119,45.8611
422,-0.838119,45.8611
423,-0.838119,45.8611
424,-0.303649,45.527902
425,-0.303649,45.527902
426,-0.303649,45.527902
427,-0.678903,45.568583
428,-0.678903,45.568583
429,-0.013245,45.157408
430,-0.013245,45.157408
431,-0.013245,45.157408
432,-1.30677,45.941801
433,-1.30677,45.941801
434,-1.317532,46.155851
435,-1.30677,45.941801
436,-0.31735,45.869989
437,-1.194709,45.886536
438,-0.678903,45.568583
439,-1.188403,46.193318
440,-1.432498,46.224022
441,-1.096399,46.300894
442,-1.096399,46.300894
443,-1.079027,46.08067
444,-1.079027,46.08067
445,-1.079027,46.08067
446,-0.813299,45.740856
447,-0.813299,45.740856
448,-0.813299,45.740856
449,-1.188403,46.193318
450,-1.432498,46.224022
451,-1.432498,46.224022
452,-1.096399,46.300894
453,-0.678354,45.876197
454,-0.678354,45.876197
455,-0.345935,46.019559
456,-1.142896,45.768927
457,-1.142896,45.768927
458,-1.142896,45.768927
459,-0.345935,46.019559
460,-0.345935,46.019559
461,-0.678354,45.876197
462,-1.188403,46.193318
463,5.908777,48.660828
464,3.053665,48.964268
465,2.585563,50.826324
466,1.217755,49.212071
467,2.86455,50.262153
468,3.67124,47.790567
469,2.515321,49.006211
470,2.515321,49.006211
471,2.332291,48.935574
472,2.519465,49.001676
473,2.332291,48.935574
474,2.332291,48.935574
475,2.332291,48.935574
476,2.332291,48.935574
477,2.241748,48.808116
478,2.332291,48.935574
479,2.519465,49.001676
480,2.245622,48.884208
481,2.241748,48.808116
482,2.059222,48.803114
483,2.059222,48.803114
484,2.245622,48.884208
485,2.323457,48.941725
