,ope,consolidated_longitude,prix_kWh
731,Izivia,2.298238,0.325
732,Izivia,2.298238,0.325
733,Izivia,2.604149,0.1909090909090909
734,Izivia,2.31427,0.3428571428571428
735,Izivia,2.141333,0.1909090909090909
736,Izivia,2.31427,0.3428571428571428
737,Izivia,2.229802,0.1909090909090909
738,Izivia,2.230882,0.1909090909090909
739,Izivia,2.339336,0.325
740,Izivia,2.339336,0.325
741,Izivia,2.324774,0.1909090909090909
742,Izivia,2.324774,0.1909090909090909
743,Izivia,2.519994,0.1909090909090909
744,Izivia,2.519994,0.1909090909090909
745,Izivia,2.322788,0.1909090909090909
746,Izivia,2.322788,0.1909090909090909
747,Izivia,2.320497,0.1909090909090909
748,Izivia,2.320497,0.1909090909090909
749,Izivia,2.388748,0.325
750,Izivia,2.388748,0.325
751,Izivia,2.229802,0.1909090909090909
752,Izivia,2.48729,0.325
753,Izivia,2.044941,0.1909090909090909
754,Izivia,2.48729,0.325
755,Izivia,2.413664,0.1909090909090909
756,Izivia,2.413664,0.1909090909090909
757,Izivia,2.392918,0.1909090909090909
758,Izivia,2.392918,0.1909090909090909
759,Izivia,2.514428,0.1909090909090909
760,Izivia,2.514428,0.1909090909090909
761,Izivia,2.325135,0.1909090909090909
762,Izivia,2.325135,0.1909090909090909
763,Izivia,2.04919,0.1909090909090909
764,Izivia,2.04919,0.1909090909090909
765,Izivia,2.314644,0.1909090909090909
766,Izivia,2.314644,0.1909090909090909
767,Izivia,2.324662,0.325
768,Izivia,2.230882,0.1909090909090909
769,Izivia,2.046263,0.325
770,Izivia,2.046263,0.325
771,Izivia,2.238681,0.325
772,Izivia,2.184659,0.1909090909090909
773,Izivia,2.181596,0.1909090909090909
774,Izivia,2.181596,0.1909090909090909
775,Izivia,2.194656,0.1909090909090909
776,Izivia,2.194656,0.1909090909090909
777,Izivia,2.253396,0.325
778,Izivia,2.253396,0.325
779,Izivia,2.279536,0.1909090909090909
780,Izivia,2.279536,0.1909090909090909
781,Izivia,2.486329,0.1909090909090909
782,Izivia,2.486329,0.1909090909090909
783,Izivia,2.371545,0.325
784,Izivia,2.371545,0.325
785,Izivia,2.399729,0.325
786,Izivia,2.399729,0.325
787,Izivia,2.642961,0.1909090909090909
788,Izivia,2.642961,0.1909090909090909
789,Izivia,2.468985,0.325
790,Izivia,2.468985,0.325
791,Izivia,2.196674,0.1909090909090909
792,Izivia,2.196674,0.1909090909090909
793,Izivia,2.188821,0.1909090909090909
794,Izivia,2.188821,0.1909090909090909
795,Izivia,2.223943,0.325
796,Izivia,2.223943,0.325
797,Izivia,2.201931,0.325
798,Izivia,2.201931,0.325
799,Izivia,2.238681,0.325
800,Autre,2.199478,0.1909090909090909
801,Izivia,2.324662,0.325
802,Izivia,2.241634,0.36
803,Izivia,2.241634,0.36
804,Autre,2.330149,0.1909090909090909
